ARCHIVO;N;FECHA;HORARIO;ARU;DETECCION;BI
20210517_233000.WAV;372;20210517;233000;a04;1;5.2991
20210518_003000.WAV;373;20210518;3000;a04;1;4.6436
20210518_013000.WAV;374;20210518;13000;a04;1;5.0697
20210518_023000.WAV;375;20210518;23000;a04;1;1.3726
20210518_033000.WAV;376;20210518;33000;a04;0;0.7291
20210518_043000.WAV;377;20210518;43000;a04;0;0.9235
20210518_053000.WAV;378;20210518;53000;a04;0;0.8207
20210518_063000.WAV;379;20210518;63000;a04;0;0.736
20210518_073000.WAV;380;20210518;73000;a04;0;0.5152
20210518_083000.WAV;381;20210518;83000;a04;0;0.7449
20210518_093000.WAV;382;20210518;93000;a04;0;0.7937
20210518_103000.WAV;383;20210518;103000;a04;0;0.667
20210518_233000.WAV;384;20210518;233000;a04;1;6.1145
20210519_003000.WAV;385;20210519;3000;a04;1;5.129
20210519_013000.WAV;386;20210519;13000;a04;1;1.8928
20210519_023000.WAV;387;20210519;23000;a04;0;0.8514
20210519_033000.WAV;388;20210519;33000;a04;0;0.8115
20210519_043000.WAV;389;20210519;43000;a04;0;0.9037
20210519_053000.WAV;390;20210519;53000;a04;0;0.7393
20210519_063000.WAV;391;20210519;63000;a04;0;0.746
20210519_073000.WAV;392;20210519;73000;a04;0;0.678
20210519_083000.WAV;393;20210519;83000;a04;0;0.5452
20210519_093000.WAV;394;20210519;93000;a04;0;0.4957
20210519_103000.WAV;395;20210519;103000;a04;0;0.6202
20210519_233000.WAV;396;20210519;233000;a04;1;4.7538
20210520_003000.WAV;397;20210520;3000;a04;1;5.7088
20210520_013000.WAV;398;20210520;13000;a04;1;4.1568
20210520_023000.WAV;399;20210520;23000;a04;0;0.768
20210520_033000.WAV;400;20210520;33000;a04;1;1.2175
20210520_043000.WAV;401;20210520;43000;a04;1;0.9512
20210520_053000.WAV;402;20210520;53000;a04;0;0.8011
20210520_063000.WAV;403;20210520;63000;a04;0;0.7574
20210520_073000.WAV;404;20210520;73000;a04;0;0.8002
20210520_083000.WAV;405;20210520;83000;a04;0;0.7973
20210520_093000.WAV;406;20210520;93000;a04;0;0.7508
20210520_103000.WAV;407;20210520;103000;a04;0;0.7551
20210520_233000.WAV;408;20210520;233000;a04;1;5.1011
20210521_003000.WAV;409;20210521;3000;a04;1;4.4159
20210521_013000.WAV;410;20210521;13000;a04;1;6.8669
20210521_023000.WAV;411;20210521;23000;a04;1;2.5707
20210521_033000.WAV;412;20210521;33000;a04;1;0.8792
20210521_043000.WAV;413;20210521;43000;a04;0;0.7585
20210521_053000.WAV;414;20210521;53000;a04;0;0.7623
20210521_063000.WAV;415;20210521;63000;a04;0;0.7676
20210521_073000.WAV;416;20210521;73000;a04;0;0.8132
20210521_083000.WAV;417;20210521;83000;a04;0;0.7496
20210521_093000.WAV;418;20210521;93000;a04;0;0.7765
20210521_103000.WAV;419;20210521;103000;a04;0;0.7848
20210521_233000.WAV;420;20210521;233000;a04;1;4.728
20210522_003000.WAV;421;20210522;3000;a04;1;5.4728
20210522_013000.WAV;422;20210522;13000;a04;1;4.3548
20210522_023000.WAV;423;20210522;23000;a04;1;1.0499
20210522_033000.WAV;424;20210522;33000;a04;0;0.7866
20210522_043000.WAV;425;20210522;43000;a04;0;0.8186
20210522_053000.WAV;426;20210522;53000;a04;0;0.762
20210522_063000.WAV;427;20210522;63000;a04;0;0.7474
20210522_073000.WAV;428;20210522;73000;a04;0;0.8091
20210522_083000.WAV;429;20210522;83000;a04;0;0.81
20210522_093000.WAV;430;20210522;93000;a04;0;0.7665
20210522_103000.WAV;431;20210522;103000;a04;0;0.79
20210522_233000.WAV;432;20210522;233000;a04;1;5.6095
20210523_003000.WAV;433;20210523;3000;a04;1;5.2879
20210523_013000.WAV;434;20210523;13000;a04;1;3.9763
20210523_023000.WAV;435;20210523;23000;a04;1;1.4009
20210523_033000.WAV;436;20210523;33000;a04;0;0.782
20210523_043000.WAV;437;20210523;43000;a04;0;0.7087
20210523_053000.WAV;438;20210523;53000;a04;0;0.736
20210523_063000.WAV;439;20210523;63000;a04;0;0.8091
20210523_073000.WAV;440;20210523;73000;a04;0;0.8303
20210523_083000.WAV;441;20210523;83000;a04;0;0.7841
20210523_093000.WAV;442;20210523;93000;a04;0;0.8159
20210523_103000.WAV;443;20210523;103000;a04;0;0.8076
20210523_233000.WAV;444;20210523;233000;a04;1;4.9334
20210524_003000.WAV;445;20210524;3000;a04;1;5.6617
20210524_013000.WAV;446;20210524;13000;a04;1;6.0503
20210524_023000.WAV;447;20210524;23000;a04;1;2.0699
20210524_033000.WAV;448;20210524;33000;a04;1;0.998
20210524_043000.WAV;449;20210524;43000;a04;1;0.7963
20210524_053000.WAV;450;20210524;53000;a04;0;0.7503
20210524_063000.WAV;451;20210524;63000;a04;0;0.862
20210524_073000.WAV;452;20210524;73000;a04;0;0.7968
20210524_083000.WAV;453;20210524;83000;a04;0;0.7697
20210524_093000.WAV;454;20210524;93000;a04;0;0.7278
20210524_103000.WAV;455;20210524;103000;a04;0;0.7327
20210524_233000.WAV;456;20210524;233000;a04;1;4.3022
20210525_003000.WAV;457;20210525;3000;a04;1;5.6451
20210525_013000.WAV;458;20210525;13000;a04;1;5.7012
20210525_023000.WAV;459;20210525;23000;a04;1;1.4519
20210525_033000.WAV;460;20210525;33000;a04;0;0.7619
20210525_043000.WAV;461;20210525;43000;a04;0;0.7491
20210525_053000.WAV;462;20210525;53000;a04;0;0.8495
